graine,score
1,-73.0
2,-247.0
3,-285.0
4,-180.0
5,0.0
6,-213.0
7,-59.0
8,-214.0
9,-349.0
10,-224.0
11,-143.0
12,-171.0
13,-381.0
14,-323.0
15,-320.0
16,-301.0
17,-75.0
18,-380.0
19,-76.0
20,0.0
21,-116.0
22,-37.0
23,-83.0
24,-437.0
25,0.0
26,-117.0
27,-69.0
28,-350.0
29,-240.0
30,-274.0
31,-81.0
32,-330.0
33,-387.0
34,-339.0
35,-175.0
36,-129.0
37,-130.0
38,-155.0
39,-214.0
40,-259.0
41,-222.0
42,0.0
43,-373.0
44,-106.0
45,-397.0
46,-74.0
47,-312.0
48,-155.0
49,-116.0
50,-219.0
51,-106.0
52,-402.0
53,-279.0
54,-223.0
55,-118.0
56,-324.0
57,-136.0
58,-18.0
59,-320.0
60,-258.0
61,-191.0
62,-338.0
63,-239.0
64,-271.0
65,-247.0
66,-11.0
67,-208.0
68,-101.0
69,-18.0
70,-30.0
71,-436.0
72,-308.0
73,-96.0
74,-78.0
75,-309.0
76,-227.0
77,-27.0
78,-315.0
79,-58.0
80,-23.0
81,-269.0
82,-293.0
83,-66.0
84,-40.0
85,-305.0
86,-278.0
87,-250.0
88,-189.0
89,-171.0
90,-135.0
91,-325.0
92,-214.0
93,-206.0
94,-133.0
95,-247.0
96,-375.0
97,-411.0
98,-54.0
99,-191.0
100,-222.0
